Step 418 | Loss: 1.07 | Accuracy: 50.20%
Step 419 | Loss: 1.06 | Accuracy: 49.61%
Step 420 | Loss: 1.08 | Accuracy: 47.46%
Step 421 | Loss: 1.06 | Accuracy: 46.68%
Step 422 | Loss: 1.07 | Accuracy: 51.56%
Step 423 | Loss: 1.07 | Accuracy: 48.83%
Step 424 | Loss: 1.07 | Accuracy: 48.24%
Step 425 | Loss: 1.07 | Accuracy: 52.15%
Step 426 | Loss: 1.06 | Accuracy: 49.61%
Step 427 | Loss: 1.07 | Accuracy: 48.24%
Step 428 | Loss: 1.07 | Accuracy: 50.00%
Step 429 | Loss: 1.08 | Accuracy: 47.07%
Step 430 | Loss: 1.07 | Accuracy: 51.17%
Step 431 | Loss: 1.08 | Accuracy: 48.24%
Step 432 | Loss: 1.07 | Accuracy: 47.85%
Step 433 | Loss: 1.08 | Accuracy: 46.29%
Step 434 | Loss: 1.07 | Accuracy: 48.44%
Step 435 | Loss: 1.09 | Accuracy: 48.05%
Step 436 | Loss: 1.06 | Accuracy: 51.95%
Step 437 | Loss: 1.08 | Accuracy: 47.46%
Step 438 | Loss: 1.08 | Accuracy: 45.90%
Step 439 | Loss: 1.08 | Accuracy: 49.22%
Step 440 | Loss: 1.08 | Accuracy: 46.68%
Step 441 | Loss: 1.07 | Accuracy: 48.44%
Step 442 | Loss: 1.07 | Accuracy: 49.61%
Step 443 | Loss: 1.08 | Accuracy: 45.90%
Step 444 | Loss: 1.07 | Accuracy: 47.66%
Step 445 | Loss: 1.08 | Accuracy: 48.05%
Step 446 | Loss: 1.07 | Accuracy: 50.78%
Step 447 | Loss: 1.08 | Accuracy: 49.22%
Step 448 | Loss: 1.08 | Accuracy: 48.24%
Step 449 | Loss: 1.06 | Accuracy: 47.07%
Step 450 | Loss: 1.06 | Accuracy: 48.05%
Step 451 | Loss: 1.07 | Accuracy: 52.34%
Step 452 | Loss: 1.07 | Accuracy: 49.22%
Step 453 | Loss: 1.08 | Accuracy: 41.80%
Step 454 | Loss: 1.07 | Accuracy: 49.22%
Step 455 | Loss: 1.06 | Accuracy: 49.61%
Step 456 | Loss: 1.05 | Accuracy: 51.76%
Step 457 | Loss: 1.06 | Accuracy: 50.00%
Step 458 | Loss: 1.07 | Accuracy: 47.66%
Step 459 | Loss: 1.06 | Accuracy: 52.93%
Step 460 | Loss: 1.07 | Accuracy: 50.20%
Step 461 | Loss: 1.07 | Accuracy: 52.15%
Step 462 | Loss: 1.06 | Accuracy: 49.80%
Step 463 | Loss: 1.09 | Accuracy: 49.41%
Step 464 | Loss: 1.09 | Accuracy: 44.53%
Step 465 | Loss: 1.07 | Accuracy: 49.22%
Step 466 | Loss: 1.07 | Accuracy: 48.63%
Step 467 | Loss: 1.06 | Accuracy: 50.78%
Step 468 | Loss: 1.08 | Accuracy: 47.85%
Step 469 | Loss: 1.07 | Accuracy: 46.68%
Step 470 | Loss: 1.08 | Accuracy: 45.12%
Step 471 | Loss: 1.07 | Accuracy: 48.83%
Step 472 | Loss: 1.08 | Accuracy: 48.83%
Step 473 | Loss: 1.08 | Accuracy: 43.75%
Step 474 | Loss: 1.06 | Accuracy: 49.02%
Step 475 | Loss: 1.06 | Accuracy: 48.63%
Step 476 | Loss: 1.07 | Accuracy: 47.07%
Step 477 | Loss: 1.07 | Accuracy: 48.44%
Step 478 | Loss: 1.08 | Accuracy: 44.14%
Step 479 | Loss: 1.06 | Accuracy: 51.95%
Step 480 | Loss: 1.07 | Accuracy: 49.02%
Step 481 | Loss: 1.09 | Accuracy: 50.00%
Step 482 | Loss: 1.05 | Accuracy: 51.95%
Step 483 | Loss: 1.06 | Accuracy: 47.85%
Step 484 | Loss: 1.09 | Accuracy: 47.07%
Step 485 | Loss: 1.08 | Accuracy: 49.61%
Step 486 | Loss: 1.08 | Accuracy: 50.39%
Step 487 | Loss: 1.08 | Accuracy: 48.63%
Step 488 | Loss: 1.07 | Accuracy: 49.61%
Step 489 | Loss: 1.07 | Accuracy: 46.88%
Step 490 | Loss: 1.08 | Accuracy: 49.02%
Step 491 | Loss: 1.06 | Accuracy: 48.24%
Step 492 | Loss: 1.09 | Accuracy: 43.95%
Step 493 | Loss: 1.07 | Accuracy: 47.66%
Step 494 | Loss: 1.08 | Accuracy: 46.88%
Step 495 | Loss: 1.07 | Accuracy: 47.85%
Step 496 | Loss: 1.08 | Accuracy: 44.92%
Step 497 | Loss: 1.07 | Accuracy: 48.63%
Step 498 | Loss: 1.07 | Accuracy: 48.44%
Step 499 | Loss: 1.05 | Accuracy: 49.22%
