Step 10 | Loss: 1.08 | Accuracy: 41.21%
Step 10 | Loss: 1.10 | Accuracy: 41.41%
Step 10 | Loss: 1.09 | Accuracy: 43.55%
Step 11 | Loss: 1.09 | Accuracy: 46.48%
Step 11 | Loss: 1.09 | Accuracy: 45.90%
Step 11 | Loss: 1.08 | Accuracy: 40.23%
Step 11 | Loss: 1.08 | Accuracy: 45.51%
Step 11 | Loss: 1.08 | Accuracy: 45.12%
Step 11 | Loss: 1.10 | Accuracy: 44.92%
Step 11 | Loss: 1.09 | Accuracy: 45.31%
Step 11 | Loss: 1.08 | Accuracy: 44.14%
Step 11 | Loss: 1.09 | Accuracy: 41.80%
Step 11 | Loss: 1.09 | Accuracy: 44.73%
Step 11 | Loss: 1.10 | Accuracy: 41.99%
Step 11 | Loss: 1.08 | Accuracy: 45.12%
Step 11 | Loss: 1.08 | Accuracy: 42.38%
Step 11 | Loss: 1.10 | Accuracy: 39.45%
Step 11 | Loss: 1.08 | Accuracy: 46.09%
Step 11 | Loss: 1.09 | Accuracy: 45.31%
Step 12 | Loss: 1.08 | Accuracy: 45.90%
Step 12 | Loss: 1.08 | Accuracy: 45.31%
Step 12 | Loss: 1.10 | Accuracy: 42.58%
Step 12 | Loss: 1.09 | Accuracy: 44.53%
Step 12 | Loss: 1.09 | Accuracy: 38.67%
Step 12 | Loss: 1.08 | Accuracy: 43.95%
Step 12 | Loss: 1.09 | Accuracy: 43.95%
Step 12 | Loss: 1.08 | Accuracy: 42.97%
Step 12 | Loss: 1.08 | Accuracy: 45.12%
Step 12 | Loss: 1.09 | Accuracy: 49.02%
Step 12 | Loss: 1.08 | Accuracy: 41.60%
Step 12 | Loss: 1.09 | Accuracy: 43.55%
Step 12 | Loss: 1.08 | Accuracy: 46.68%
Step 12 | Loss: 1.08 | Accuracy: 47.66%
Step 12 | Loss: 1.07 | Accuracy: 47.07%
Step 12 | Loss: 1.08 | Accuracy: 44.34%
Step 13 | Loss: 1.09 | Accuracy: 47.66%
Step 13 | Loss: 1.09 | Accuracy: 43.36%
Step 13 | Loss: 1.09 | Accuracy: 45.51%
Step 13 | Loss: 1.07 | Accuracy: 48.24%
Step 13 | Loss: 1.08 | Accuracy: 41.02%
Step 13 | Loss: 1.09 | Accuracy: 43.55%
Step 13 | Loss: 1.08 | Accuracy: 44.14%
Step 13 | Loss: 1.08 | Accuracy: 42.19%
Step 13 | Loss: 1.09 | Accuracy: 41.41%
Step 13 | Loss: 1.08 | Accuracy: 43.55%
Step 13 | Loss: 1.09 | Accuracy: 42.77%
Step 13 | Loss: 1.08 | Accuracy: 42.58%
Step 13 | Loss: 1.08 | Accuracy: 44.34%
Step 13 | Loss: 1.08 | Accuracy: 46.09%
Step 13 | Loss: 1.08 | Accuracy: 44.34%
Step 13 | Loss: 1.10 | Accuracy: 48.63%
Step 14 | Loss: 1.11 | Accuracy: 47.07%
Step 14 | Loss: 1.07 | Accuracy: 43.95%
Step 14 | Loss: 1.08 | Accuracy: 45.51%
